Time,Table disp,Act dis,Acc RF, Acc 2F,Acc 1F,Delta P,Voltage command,Dis command
0.017089844,-0.0025157738,-13.635974,-1.616541250330974,-0.6075119199448034,-0.23540909469559007,0.08213003,0.03631727,0.0
0.021972656,-0.0024465017,-13.634836,-9.636679723945539,-3.3217468424735452,-1.0839242118965609,0.08499153,0.03632848,0.0
0.026855469,-0.0027480389,-13.634542,-24.87220328311098,-7.243385156873438,-1.5553113787445754,0.09364491,0.036347385,0.0
0.031738281,-0.0022020121,-13.634604,-35.51687361273116,-7.910004295874999,0.32862229661477615,0.086969607,0.036356319,0.0
0.036621094,-0.0027521139,-13.635101,-28.262036104615454,-4.917674839192423,3.4186146000503412,0.098243371,0.03638668,0.0
0.041503906,-0.0029381975,-13.636325,-9.86629175068273,-3.569482027141791,3.902299017336961,0.094361253,0.036457416,0.0
0.046386719,-0.0027358145,-13.635474,-3.9439480933013282,-4.846958394026163,1.4934414980446586,0.10092453,0.036435556,0.0
0.051269531,-0.0026760504,-13.634959,-18.827919940358004,-4.313206917389498,-0.4906371641907429,0.10306991,0.036446437,0.0
0.056152344,-0.002984379,-13.635438,-34.58940554153778,-0.7108081994617471,-0.2557497201113736,0.10176715,0.036498938,-1.3812366e-05
0.061035156,-0.0022441188,-13.635767,-35.38568722277141,2.6675115038233708,2.4473308872658412,0.11542547,0.036341544,-6.1893297e-05
0.065917969,-0.0028254606,-13.636409,-30.98973275420903,3.1328337559309447,6.845691830079075,0.11093727,0.036400046,-0.00015515737
0.070800781,-0.0027439641,-13.634679,-32.72352647357285,0.8332522231409573,8.5147738068468,0.11958952,0.036341574,-0.00028142432
0.075683594,-0.0022644929,-13.634949,-36.53207207913699,-1.8246418338279735,3.9589970656510634,0.11695489,0.036280181,-0.00044150971
0.080566406,-0.0023609304,-13.636516,-35.84715937135702,-1.1392998794155904,-2.8299648938778987,0.11325924,0.036221564,-0.00067762233
0.085449219,-0.0022400438,-13.637076,-29.398260451812906,1.6406144113721133,-5.390850341649315,0.11893956,0.036080506,-0.0010083177
0.090332031,-0.0025605969,-13.633971,-20.516929829144107,-0.19614409530709753,-1.950041470417135,0.11336633,0.036151811,-0.0013604786
0.095214844,-0.0024587263,-13.634663,-16.16955063533916,-5.049721199251238,4.218034193606366,0.12337933,0.036188945,-0.0016388744
0.10009766,-0.0026230777,-13.636056,-18.44379164399397,-3.7994430090865614,7.950303442260686,0.11773504,0.036284149,-0.0018423932
0.10498047,-0.0020838422,-13.634775,-21.469444904088075,2.8178041112202057,7.376322145040391,0.11961392,0.036186468,-0.0020426728
0.10986328,-0.0030468595,-13.635754,-22.044012834847837,5.88122036937904,4.538794441842526,0.11595863,0.036279302,-0.0022707619
0.11474609,-0.0031202065,-13.633601,-22.286491992847633,2.615844288844036,1.1696432801434602,0.1118852,0.036315877,-0.0024909824
0.11962891,-0.002358214,-13.634694,-19.31747455092113,-1.8446466661541931,-1.1418530769038278,0.12826006,0.036201231,-0.0026717368
0.12451172,-0.0024913249,-13.636255,-9.00863397308917,-1.5113558417281356,-0.7323843173836992,0.12778671,0.036235534,-0.0028244625
0.12939453,-0.0026869166,-13.635017,0.21214266223766842,2.253000482107926,0.7084855569861636,0.13526437,0.036225837,-0.0029728075
0.13427734,-0.0026149279,-13.636167,-1.996453773899804,1.647096613381437,1.365784658571096,0.13893473,0.036180861,-0.0031222436
0.13916016,-0.0023310485,-13.636403,-9.7674032659921,-3.4222159812587165,2.615139561946326,0.13823779,0.036173064,-0.0032682032
0.14404297,-0.0020824841,-13.634965,-11.574562903076803,-2.82211518597657,2.963383483957151,0.14899747,0.036101609,-0.0034128292
0.14892578,-0.0029490637,-13.63466,-6.847591482638953,5.734120028229821,0.8910756894206057,0.14289948,0.036228731,-0.0035619894
0.15380859,-0.0023813045,-13.634645,-1.198724381779905,10.416573052135606,1.8553168488368699,0.15022539,0.036146723,-0.0037143091
0.15869141,-0.0027263064,-13.633549,1.6979856306307979,5.319738398049169,6.068928073791492,0.14869469,0.036191303,-0.0038656266
0.16357422,-0.0025483724,-13.63546,-1.0792170757214485,0.3937845954105338,4.02386561967917,0.15310766,0.036149826,-0.0040190476
0.16845703,-0.0022196698,-13.63392,-9.535717875499238,1.400341621161439,-3.8629911125013674,0.15848124,0.036104918,-0.004168842
0.17333984,-0.0022101619,-13.635639,-15.981981072047548,-0.025746337464375157,-6.305336194328529,0.1513626,0.036200147,-0.0042748186
0.17822266,-0.0020919919,-13.635911,-12.691841473927331,-7.5372827887276745,-1.2943850420948202,0.16306169,0.036213323,-0.0042889821
0.18310547,-0.0023432728,-13.635284,-5.583195102766366,-11.563833181341924,4.459386328923428,0.16074206,0.036331147,-0.0042243232
0.18798828,-0.0014875593,-13.635954,-7.74122076531105,-6.461313414516482,6.9644732065099975,0.16729097,0.036229387,-0.0041626748
0.19287109,-0.0023921707,-13.634292,-19.119687467323583,-1.2209482740802866,3.686529306692875,0.17089188,0.036261231,-0.0041699409
0.19775391,-0.0026964245,-13.635408,-28.07460124016073,-4.174149314322527,-4.740564463314203,0.16745567,0.036274947,-0.0042295111
0.20263672,-0.0024302024,-13.633699,-28.77144068030828,-7.312616169761059,-9.433500632325574,0.17706816,0.03618053,-0.0043212972
0.20751953,-0.0023351233,-13.634537,-25.556792111376318,-1.0900212399942428,-3.7612304698177015,0.17295997,0.036161248,-0.0044458681
0.21240234,-0.0024003205,-13.635341,-27.217955388026994,5.904814550696672,3.961224363793625,0.17867467,0.036064561,-0.0046426947
0.21728516,-0.0022115202,-13.634691,-35.188130569790985,3.194063875898076,1.8516519410639387,0.17383987,0.035970431,-0.0049216198
0.22216797,-0.0023269735,-13.633286,-36.661369121348955,-0.9933391389202143,-6.498239574251452,0.16849643,0.035931725,-0.0052508363
0.22705078,-0.0026081365,-13.634127,-26.484470673976855,2.3390146711098647,-9.301970752425792,0.17131664,0.035927117,-0.0055734767
0.23193359,-0.0020254364,-13.63398,-21.118685182992625,4.606289378351214,-6.095080654944017,0.16391893,0.035935473,-0.0058381916
0.23681641,-0.0019045499,-13.636435,-28.402769691619987,-1.813577664614635,-3.9349540532423433,0.16990574,0.035941385,-0.0060338448
0.24169922,-0.0021164408,-13.635467,-33.21604227358341,-7.533526507979983,-2.5103938706389455,0.16834164,0.035992432,-0.0061876951
0.24658203,-0.002757547,-13.635395,-28.4744295069223,-4.195310772217621,0.8052687021747331,0.17046514,0.036040336,-0.0063329507
0.25146484,-0.0023174656,-13.635092,-26.063856815991564,0.7101059925803451,2.416308017715445,0.17271325,0.035949148,-0.0064916546
0.25634766,-0.0026828416,-13.635607,-30.985801138645638,0.29200325970952007,0.06699860817051995,0.16928741,0.035949316,-0.0066850102
0.26123047,-0.0017429151,-13.633796,-32.44009298751936,-1.0368814042072412,-3.3748556735315933,0.17931794,0.035723507,-0.0069288653
0.26611328,-0.0019615975,-13.634717,-24.29194673964464,-0.8745375370829819,-5.495885721106883,0.17729609,0.035696644,-0.0072092009
0.27099609,-0.0022060871,-13.635071,-17.044566975674275,-1.3998201497921423,-6.1461879463713025,0.18089066,0.035677966,-0.0074936971
0.27587891,-0.0019140578,-13.634976,-21.036842448437685,-0.12560477435902043,-6.043342660687088,0.17986713,0.035614919,-0.0077812546
0.28076172,-0.0015772055,-13.637521,-27.9658028769694,4.273874150802895,-5.733757352900198,0.17401309,0.035525527,-0.0081064897
0.28564453,-0.0021571892,-13.635835,-24.71849772372283,5.374648219244833,-4.738903778569756,0.17917775,0.035473656,-0.0084766475
0.29052734,-0.0023093161,-13.635617,-16.759328405261538,0.483398484616157,-2.599051128895618,0.17080958,0.035522442,-0.0088382149
0.29541016,-0.0021992957,-13.635019,-17.048003024445748,-3.4613170753634868,-0.486083737951139,0.17531712,0.035526711,-0.0091350414
0.30029297,-0.0020539602,-13.636045,-22.92527918431033,-3.861539337962777,0.7368925927464496,0.16742989,0.035548564,-0.0093793627
0.30517578,-0.0017388402,-13.634809,-23.571705129052635,-6.541034882906376,0.9504296800531764,0.15721513,0.035479214,-0.0096367439
0.31005859,-0.0021490394,-13.635516,-16.780428653132997,-10.641377090713895,-1.10665783717812,0.15554337,0.035418313,-0.0099506117
0.31494141,-0.0025619552,-13.635949,-9.680995920631814,-7.887095922720489,-4.673827403609855,0.14595191,0.035425648,-0.010308812
0.31982422,-0.0018828175,-13.63658,-12.651691466163431,1.4346044581397939,-5.687411150357762,0.14749826,0.035293251,-0.010677751
0.32470703,-0.0024043953,-13.634755,-25.12941585351651,6.615433695821094,-2.480473747195412,0.13477242,0.035327628,-0.011036722
