Time,Table disp,Act dis,Acc RF, Acc 2F,Acc 1F,Delta P,Voltage command,Dis command
0.01953125,0.00031079742,-13.660531,-0.941592376035569,0.3808254724316992,-0.7428697744024632,0.33508679,0.0076054307,0.0
0.024414063,-0.00066987745,-13.661318,-5.81145517352347,2.268831196268545,-4.216288943669597,0.33672747,0.0076975524,0.0
0.029296875,-7.0390452e-06,-13.661009,-15.389167389098462,5.720392551672597,-9.991335228210351,0.33974916,0.0076073543,0.0
0.034179688,-4.9145587e-05,-13.660349,-23.49426987916043,8.113486645197982,-13.291121393958916,0.34157431,0.0076017319,0.0
0.0390625,-0.00012249246,-13.661631,-24.66114871184446,7.441648428139621,-12.86026240178883,0.34260258,0.0076016681,0.0
0.043945313,-0.00026782794,-13.660349,-21.692997964344755,4.794386441123317,-13.126794393604758,0.34381384,0.0076081487,0.0
0.048828125,-0.00039414756,-13.65981,-18.841458613939743,1.9225888190755906,-13.566971469926964,0.34779617,0.0075999708,0.0
0.053710938,-0.00039414756,-13.660075,-17.68010474900259,0.8094764011090827,-9.88920609161261,0.34794918,0.0075965892,0.0
0.05859375,-0.00015509107,-13.660933,-19.193001976181883,2.9467012828363575,-6.144310779085068,0.35022685,0.0075578876,0.0
0.063476563,-0.00015509107,-13.660983,-20.562277481832037,4.45151266816259,-9.09340800459732,0.34722486,0.0075700204,4.3131365e-07
0.068359375,3.5067493e-05,-13.660947,-18.138367618611113,0.6374252672001809,-15.010433725027223,0.34630778,0.0075496892,9.5207736e-07
0.073242188,-0.00048922683,-13.661273,-14.8292477554683,-3.4059502523682674,-16.439685186408575,0.34419322,0.0076124952,1.7570422e-06
0.078125,-0.00017954003,-13.661924,-13.926426943846659,-1.272137632843716,-13.652545452537783,0.34400046,0.0075745243,3.1313464e-06
0.083007813,-0.00029771001,-13.660405,-14.097668903361425,2.462737073416903,-11.18922535032462,0.34509149,0.0075781369,5.3354474e-06
0.087890625,-0.0001034766,-13.659976,-15.721681935683527,3.091532665520513,-11.669101303716939,0.34331715,0.0075597861,8.3595887e-06
0.092773438,-0.0004688527,-13.660249,-19.390394415567133,4.505051781827574,-13.857492127500507,0.34512365,0.0075791935,1.1789033e-05
0.09765625,-0.00011434281,-13.66121,-22.70107615626243,7.932054729312674,-14.056630964032182,0.34314668,0.0075459117,1.4944822e-05
0.10253906,-0.00052997511,-13.660721,-25.180445952984925,8.062262093628446,-11.811905468069085,0.34355697,0.0075788922,1.7272394e-05
0.10742188,-0.00073914952,-13.660223,-25.797816680689344,4.6490914251297095,-10.612883913162923,0.34277773,0.0075960974,1.8691029e-05
0.11230469,-0.00040773032,-13.661553,-22.540345627011753,2.904636825046361,-11.328454252914733,0.34109521,0.007560187,1.962955e-05
0.1171875,-0.00036290722,-13.659317,-21.084591107958342,2.9768747580907466,-11.443925526011421,0.34229216,0.0075397934,2.0749734e-05
